NS_position_y,warning.started,final.started,exp_trials_loop.ran,__participant,training_intro.stopped,NS_button_example.numClicks,intro_continue.keys,S_button_example.timesOff,study_id,NS_button_practice.timesOn,pre_quiz_key.rt,consent.started,exp_trials_loop.thisN,S_button_practice.timesOff,NS_button.timesOn,unique_item_no,key_resp_end_prac.rt,button_pos_warning.stopped,session,__session,pre_quiz.stopped,prac_feedback_loop.thisN,warning.stopped,answer,NS_button_example.timesOff,prac_feedback_loop.thisIndex,frameRate,ready_to_go.stopped,AC_button.numClicks,age_textbox.text,training_intro_key.rt,pre_quiz_key.keys,intro.stopped,S_button_practice.numClicks,S_button_example.numClicks,AC_button.timesOn,ready_spacebar.rt,pre_prac_key.keys,ready_spacebar.keys,__datetime,feedback,instruction,pre_practice.started,NS_button.timesOff,practice_trial_feedback.started,trials.started,participant,gender_slider.response,demographics.started,intro.started,trials.stopped,prac_feedback_loop.ran,NS_position_x,S_button.numClicks,consent.stopped,S_position_y,AC_button.timesOff,instruction_colour,S_position_x,psychopyVersion,OS,expName,pre_quiz.started,ready_to_go.started,exp_trials_loop.thisTrialN,stim_size_y,ready_spacebar_2.rt,training_intro.started,NS_button_practice.numClicks,image,image_path,stim_size_x,pre_practice.stopped,NS_button_practice.timesOff,training_intro_key.keys,prac_feedback_loop.thisTrialN,practice_trial_feedback.stopped,S_button_example.timesOn,S_button_practice.timesOn,S_button.timesOff,date,exp_trials_loop.thisIndex,prac_feedback_loop.thisRepN,S_button.timesOn,exp_trials_loop.thisRepN,type,demographics.stopped,button_pos_warning.started,pre_prac_key.rt,NS_button_example.timesOn,__experimentName,ready_spacebar_2.keys,intro_continue.rt,NS_button.numClicks,key_resp_end_prac.keys,number,final.stopped
﻿,,,,161563,,0,,[],68766fd199ac5101833eeb20,,,,,,,,,,687671e2818b7ec977627768,001,,,,,[],,59.952038369329664,371.82,,,,,,,0,,3.634999999999991,,space,2025-07-15_17h15.45.840,,,,,,,67d2f0a3fc7591bc603ac592,,,,,,,,,,,,,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,362.15299999999996,,,,,,,,,,,,,,[],,,2025-07-15_17h16.30.004,,,,,,,,,[],ECG_X_EXP1_m1_JT,,,,,,
﻿,,,,161563,,,,,68766fd199ac5101833eeb20,,,,,,,,,377.086,687671e2818b7ec977627768,001,,,,,,,59.952038369329664,,,,,,,,,,,,,2025-07-15_17h15.45.840,,,,,,,67d2f0a3fc7591bc603ac592,,,,,,,,,,,,,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,,,1.225999999999999,,,,,,,,,,,,,,2025-07-15_17h16.30.004,,,,,,,371.82,,,ECG_X_EXP1_m1_JT,space,,,,,
﻿-0.425,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,0,,[],60,,,687671e2818b7ec977627768,001,,,,N_ST,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please look at the following ECG and decide if ST-elevation is present.,,[],,377.108,67d2f0a3fc7591bc603ac592,,,,381.06899999999996,,-0.65,1,,-0.425,[],black,0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,0,0.801425662,,,,,exp_resources/pilot_round2_stimuli/norm_vis/JT/JT_0491_i_5_NORM_NOST.png,0.5,,,,,,,,[1.4660000000000082],2025-07-15_17h16.30.004,59,,[1.4660000000000082],0,NORM_vis,,,,,ECG_X_EXP1_m1_JT,,,0,,,
﻿-0.425,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,1,,[],74,,,687671e2818b7ec977627768,001,,,,ST,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please look at the following ECG and decide if ST-elevation is present.,,[],,381.07599999999996,67d2f0a3fc7591bc603ac592,,,,385.73699999999997,,-0.65,1,,-0.425,[],black,0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,1,0.801425662,,,,,exp_resources/pilot_round2_stimuli/no_vis/nvis_s0051_v1_1_mi_st.png,0.5,,,,,,,,[2.1680000000000064],2025-07-15_17h16.30.004,73,,[2.1680000000000064],0,MI_no_vis,,,,,ECG_X_EXP1_m1_JT,,,0,,,
﻿-0.425,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,2,,[0.8660000000000423],22,,,687671e2818b7ec977627768,001,,,,ST,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please look at the following ECG and decide if ST-elevation is present.,,[0.8660000000000423],,385.743,67d2f0a3fc7591bc603ac592,,,,389.104,,-0.65,0,,-0.425,[],black,0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,2,0.801425662,,,,,exp_resources/pilot_round2_stimuli/MI_vis/JT/JT_0098_v1_5_MI_st.png,0.5,,,,,,,,[],2025-07-15_17h16.30.004,21,,[],0,MI_vis,,,,,ECG_X_EXP1_m1_JT,,,1,,,
﻿-0.45,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,3,,[],126,,,687671e2818b7ec977627768,001,,,,AC,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please IGNORE the following ECG and click on the centre of the visualisation.,,[],,389.12,67d2f0a3fc7591bc603ac592,,,,393.486,,-0.65,1,,-0.45,[],red,0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,3,0.801425662,,,,,exp_resources/pilot_round2_stimuli/no_vis/nvis_s0083_v4_4_mi_st.png,0.5,,,,,,,,[1.8840000000000146],2025-07-15_17h16.30.004,125,,[1.8840000000000146],0,AC,,,,,ECG_X_EXP1_m1_JT,,,0,,,
﻿-0.425,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,4,,[],72,,,687671e2818b7ec977627768,001,,,,ST,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please look at the following ECG and decide if ST-elevation is present.,,[],,393.495,67d2f0a3fc7591bc603ac592,,,,397.286,,-0.65,1,,-0.425,[],black,0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,4,0.801425662,,,,,exp_resources/pilot_round2_stimuli/no_vis/nvis_s0038_v4_2_mi_st.png,0.5,,,,,,,,[1.3000000000000114],2025-07-15_17h16.30.004,71,,[1.3000000000000114],0,MI_no_vis,,,,,ECG_X_EXP1_m1_JT,,,0,,,
﻿-0.425,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,5,,[1.1159999999999854],30,,,687671e2818b7ec977627768,001,,,,ST,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please look at the following ECG and decide if ST-elevation is present.,,[1.1159999999999854],,397.29499999999996,67d2f0a3fc7591bc603ac592,,,,400.902,,-0.65,0,,-0.425,[],black,0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,5,0.801425662,,,,,exp_resources/pilot_round2_stimuli/MI_vis/JT/JT_0558_v1_2_MI_st.png,0.5,,,,,,,,[],2025-07-15_17h16.30.004,29,,[],0,MI_vis,,,,,ECG_X_EXP1_m1_JT,,,1,,,
﻿-0.425,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,6,,[0.8840000000000146],7,,,687671e2818b7ec977627768,001,,,,ST,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please look at the following ECG and decide if ST-elevation is present.,,[0.8840000000000146],,400.90799999999996,67d2f0a3fc7591bc603ac592,,,,404.288,,0.65,0,,-0.425,[],black,-0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,6,0.801425662,,,,,exp_resources/pilot_round2_stimuli/MI_vis/JT/JT_0026_v4_5_MI_st.png,0.5,,,,,,,,[],2025-07-15_17h16.30.004,6,,[],0,MI_vis,,,,,ECG_X_EXP1_m1_JT,,,1,,,
﻿-0.425,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,7,,[],96,,,687671e2818b7ec977627768,001,,,,N_ST,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please look at the following ECG and decide if ST-elevation is present.,,[],,404.306,67d2f0a3fc7591bc603ac592,,,,409.27,,-0.65,1,,-0.425,[],black,0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,7,0.801425662,,,,,exp_resources/pilot_round2_stimuli/no_vis/nvis_s0302_ii_3_normal_nst.png,0.5,,,,,,,,[2.483000000000004],2025-07-15_17h16.30.004,95,,[2.483000000000004],0,NORM_no_vis,,,,,ECG_X_EXP1_m1_JT,,,0,,,
﻿-0.425,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,8,,[],46,,,687671e2818b7ec977627768,001,,,,N_ST,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please look at the following ECG and decide if ST-elevation is present.,,[],,409.276,67d2f0a3fc7591bc603ac592,,,,413.186,,-0.65,1,,-0.425,[],black,0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,8,0.801425662,,,,,exp_resources/pilot_round2_stimuli/norm_vis/JT/JT_0465_avf_4_NORM_NOST.png,0.5,,,,,,,,[1.4180000000000064],2025-07-15_17h16.30.004,45,,[1.4180000000000064],0,NORM_vis,,,,,ECG_X_EXP1_m1_JT,,,0,,,
﻿-0.425,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,9,,[4.899999999999977],104,,,687671e2818b7ec977627768,001,,,,N_ST,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please look at the following ECG and decide if ST-elevation is present.,,[4.899999999999977],,413.191,67d2f0a3fc7591bc603ac592,,,,420.586,,-0.65,0,,-0.425,[],black,0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,9,0.801425662,,,,,exp_resources/pilot_round2_stimuli/no_vis/nvis_s0462_v1_4_normal_nst.png,0.5,,,,,,,,[],2025-07-15_17h16.30.004,103,,[],0,NORM_no_vis,,,,,ECG_X_EXP1_m1_JT,,,1,,,
﻿-0.425,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,10,,[1.5],76,,,687671e2818b7ec977627768,001,,,,ST,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please look at the following ECG and decide if ST-elevation is present.,,[1.5],,420.594,67d2f0a3fc7591bc603ac592,,,,424.586,,-0.65,0,,-0.425,[],black,0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,10,0.801425662,,,,,exp_resources/pilot_round2_stimuli/no_vis/nvis_s0061_v4_3_mi_st.png,0.5,,,,,,,,[],2025-07-15_17h16.30.004,75,,[],0,MI_no_vis,,,,,ECG_X_EXP1_m1_JT,,,1,,,
﻿-0.425,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,11,,[],112,,,687671e2818b7ec977627768,001,,,,N_ST,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please look at the following ECG and decide if ST-elevation is present.,,[],,424.598,67d2f0a3fc7591bc603ac592,,,,429.924,,-0.65,1,,-0.425,[],black,0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,11,0.801425662,,,,,exp_resources/pilot_round2_stimuli/no_vis/nvis_s0478_avf_1_normal_nst.png,0.5,,,,,,,,[2.8349999999999795],2025-07-15_17h16.30.004,111,,[2.8349999999999795],0,NORM_no_vis,,,,,ECG_X_EXP1_m1_JT,,,0,,,
﻿-0.425,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,12,,[2.1499999999999773],15,,,687671e2818b7ec977627768,001,,,,ST,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please look at the following ECG and decide if ST-elevation is present.,,[2.1499999999999773],,429.933,67d2f0a3fc7591bc603ac592,,,,434.57,,0.65,0,,-0.425,[],black,-0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,12,0.801425662,,,,,exp_resources/pilot_round2_stimuli/MI_vis/JT/JT_0061_v4_6_MI_st.png,0.5,,,,,,,,[],2025-07-15_17h16.30.004,14,,[],0,MI_vis,,,,,ECG_X_EXP1_m1_JT,,,1,,,
﻿-0.425,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,13,,[],77,,,687671e2818b7ec977627768,001,,,,ST,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please look at the following ECG and decide if ST-elevation is present.,,[],,434.584,67d2f0a3fc7591bc603ac592,,,,439.871,,0.65,1,,-0.425,[],black,-0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,13,0.801425662,,,,,exp_resources/pilot_round2_stimuli/no_vis/nvis_s0061_v4_6_mi_st.png,0.5,,,,,,,,[2.8010000000000446],2025-07-15_17h16.30.004,76,,[2.8010000000000446],0,MI_no_vis,,,,,ECG_X_EXP1_m1_JT,,,0,,,
﻿-0.425,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,14,,[],119,,,687671e2818b7ec977627768,001,,,,N_ST,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please look at the following ECG and decide if ST-elevation is present.,,[],,439.883,67d2f0a3fc7591bc603ac592,,,,444.003,,0.65,1,,-0.425,[],black,-0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,14,0.801425662,,,,,exp_resources/pilot_round2_stimuli/no_vis/nvis_s0491_i_5_normal_nst.png,0.5,,,,,,,,[1.634999999999991],2025-07-15_17h16.30.004,118,,[1.634999999999991],0,NORM_no_vis,,,,,ECG_X_EXP1_m1_JT,,,0,,,
﻿-0.425,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,15,,[9.783999999999992],64,,,687671e2818b7ec977627768,001,,,,ST,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please look at the following ECG and decide if ST-elevation is present.,,[9.783999999999992],,444.01099999999997,67d2f0a3fc7591bc603ac592,,,,456.287,,-0.65,0,,-0.425,[],black,0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,15,0.801425662,,,,,exp_resources/pilot_round2_stimuli/no_vis/nvis_s0016_avf_1_mi_st.png,0.5,,,,,,,,[],2025-07-15_17h16.30.004,63,,[],0,MI_no_vis,,,,,ECG_X_EXP1_m1_JT,,,1,,,
﻿-0.425,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,16,,[1.5329999999999586],106,,,687671e2818b7ec977627768,001,,,,N_ST,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please look at the following ECG and decide if ST-elevation is present.,,[1.5329999999999586],,456.29699999999997,67d2f0a3fc7591bc603ac592,,,,460.32,,-0.65,0,,-0.425,[],black,0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,16,0.801425662,,,,,exp_resources/pilot_round2_stimuli/no_vis/nvis_s0465_avl_5_normal_nst.png,0.5,,,,,,,,[],2025-07-15_17h16.30.004,105,,[],0,NORM_no_vis,,,,,ECG_X_EXP1_m1_JT,,,1,,,
﻿-0.425,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,17,,[1.6330000000000382],49,,,687671e2818b7ec977627768,001,,,,N_ST,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please look at the following ECG and decide if ST-elevation is present.,,[1.6330000000000382],,460.325,67d2f0a3fc7591bc603ac592,,,,464.43600000000004,,0.65,0,,-0.425,[],black,-0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,17,0.801425662,,,,,exp_resources/pilot_round2_stimuli/norm_vis/JT/JT_0466_v4_1_NORM_NOST.png,0.5,,,,,,,,[],2025-07-15_17h16.30.004,48,,[],0,NORM_vis,,,,,ECG_X_EXP1_m1_JT,,,1,,,
﻿-0.425,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,18,,[],97,,,687671e2818b7ec977627768,001,,,,N_ST,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please look at the following ECG and decide if ST-elevation is present.,,[],,464.44399999999996,67d2f0a3fc7591bc603ac592,,,,468.7050000000001,,0.65,1,,-0.425,[],black,-0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,18,0.801425662,,,,,exp_resources/pilot_round2_stimuli/no_vis/nvis_s0302_v5_6_normal_nst.png,0.5,,,,,,,,[1.766999999999996],2025-07-15_17h16.30.004,96,,[1.766999999999996],0,NORM_no_vis,,,,,ECG_X_EXP1_m1_JT,,,0,,,
﻿-0.425,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,19,,[],117,,,687671e2818b7ec977627768,001,,,,N_ST,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please look at the following ECG and decide if ST-elevation is present.,,[],,468.72700000000003,67d2f0a3fc7591bc603ac592,,,,473.22100000000006,,0.65,1,,-0.425,[],black,-0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,19,0.801425662,,,,,exp_resources/pilot_round2_stimuli/no_vis/nvis_s0481_avr_5_normal_nst.png,0.5,,,,,,,,[2.016999999999939],2025-07-15_17h16.30.004,116,,[2.016999999999939],0,NORM_no_vis,,,,,ECG_X_EXP1_m1_JT,,,0,,,
﻿-0.425,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,20,,[1.2170000000000982],75,,,687671e2818b7ec977627768,001,,,,ST,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please look at the following ECG and decide if ST-elevation is present.,,[1.2170000000000982],,473.24100000000004,67d2f0a3fc7591bc603ac592,,,,476.93700000000007,,0.65,0,,-0.425,[],black,-0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,20,0.801425662,,,,,exp_resources/pilot_round2_stimuli/no_vis/nvis_s0056_v4_6_mi_st.png,0.5,,,,,,,,[],2025-07-15_17h16.30.004,74,,[],0,MI_no_vis,,,,,ECG_X_EXP1_m1_JT,,,1,,,
﻿-0.425,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,21,,[],109,,,687671e2818b7ec977627768,001,,,,N_ST,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please look at the following ECG and decide if ST-elevation is present.,,[],,476.945,67d2f0a3fc7591bc603ac592,,,,480.82200000000006,,0.65,1,,-0.425,[],black,-0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,21,0.801425662,,,,,exp_resources/pilot_round2_stimuli/no_vis/nvis_s0466_v6_2_normal_nst.png,0.5,,,,,,,,[1.384999999999991],2025-07-15_17h16.30.004,108,,[1.384999999999991],0,NORM_no_vis,,,,,ECG_X_EXP1_m1_JT,,,0,,,
﻿-0.425,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,22,,[1.3010000000000446],79,,,687671e2818b7ec977627768,001,,,,ST,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please look at the following ECG and decide if ST-elevation is present.,,[1.3010000000000446],,480.83200000000005,67d2f0a3fc7591bc603ac592,,,,484.62000000000006,,0.65,0,,-0.425,[],black,-0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,22,0.801425662,,,,,exp_resources/pilot_round2_stimuli/no_vis/nvis_s0062_v4_3_mi_st.png,0.5,,,,,,,,[],2025-07-15_17h16.30.004,78,,[],0,MI_no_vis,,,,,ECG_X_EXP1_m1_JT,,,1,,,
﻿-0.425,,,1,161563,,,,,68766fd199ac5101833eeb20,,,,23,,[4.923000000000002],102,,,687671e2818b7ec977627768,001,,,,N_ST,,,59.952038369329664,,0,,,,,,,[],,,,2025-07-15_17h15.45.840,,Please look at the following ECG and decide if ST-elevation is present.,,[4.923000000000002],,484.627,67d2f0a3fc7591bc603ac592,,,,492.04300000000006,,-0.65,0,,-0.425,[],black,0.65,2024.2.4,Win32,ECG_X_EXP1_m1_JT,,,23,0.801425662,,,,,exp_resources/pilot_round2_stimuli/no_vis/nvis_s0460_avr_3_normal_nst.png,0.5,,,,,,,,[],2025-07-15_17h16.30.004,101,,[],0,NORM_no_vis,,,,,ECG_X_EXP1_m1_JT,,,1,,,
